id,tenant_id,institution_id,template_id,parent_section_id,title,description,sequence,created_by,updated_by,deleted_at,deleted_by,is_evidence,is_deleted,created_at,updated_at
587,362,1870,30091,579,Relato da experiência individual no desenvolvimento do projeto,"Seu relato precisará conter: 
1. CONTEXTUALIZAÇÃO – Explicar a experiência de extensão vivenciada, contextualizando a sua participação, explicando ainda como teoria e os conteúdos dessa disciplina foram aplicados na prática, a partir desta troca com a comunidade local. 
2. METODOLOGIA – Descrever que métodos foram usados para realizar sua atividade de extensão, isto é, dinâmicas de grupo, entrevistas, questionários, ou algum outro método de levantamento de dados, e explicar o que foi efetivamente executado, incluindo os detalhes de implementação.
3. RESULTADOS E DISCUSSÃO - Detalhar os resultados obtidos na atividade realizada, como, por exemplo, os impactos que ela gerou na comunidade envolvida, as facilidades e dificuldades que você enfrentou durante esta experiência e quais descobertas e aprendizagens teve neste processo. 

Exemplo:
A relação entre a experiência vivida e o conteúdo estudado foi fundamental para meu desenvolvimento pessoal e profissional ao relacionar a prática com o conteúdo teórico, tive uma compreensão mais profunda e consegui compreender como aplicar na vida real. Tivemos oportunidade de contribuir positivamente para a sociedade ao identificar as necessidades deste público vulnerável.
Realizei reuniões com o responsável pelo estabelecimento visitado e percebi que provoquei nele uma mudança positiva de mentalidade quanto ao gerenciamento das questões de segurança e de saúde do trabalho. Por conta disso, foram/serão implementadas medidas preventivas para evitar problemas de corrosão, o que contribui para aumentar a vida útil do material, empreendimento, veículo ou objeto.
Quando terminamos a tarefa, percebi que esta experiência despertou em mim e nos participantes senso de responsabilidade social e coletiva, dedicando parte do meu tempo de estudo, e, principalmente, que aquilo que aprendi pode fazer a diferença na vida das pessoas.",1,,,,,false,false,2024-05-31T21:04:14.874-03:00,2024-09-24T10:05:01.806-03:00
11,362,1870,30011,3,Relato da experiência individual no desenvolvimento do projeto,"Seu relato precisará conter: 
1. CONTEXTUALIZAÇÃO – Explicar a experiência de extensão vivenciada, contextualizando a sua participação, explicando ainda como teoria e os conteúdos dessa disciplina foram aplicados na prática, a partir desta troca com a comunidade local. 
2. METODOLOGIA – Descrever que métodos foram usados para realizar sua atividade de extensão, isto é, dinâmicas de grupo, entrevistas, questionários, ou algum outro método de levantamento de dados, e explicar o que foi efetivamente executado, incluindo os detalhes de implementação.
3. RESULTADOS E DISCUSSÃO - Detalhar os resultados obtidos na atividade realizada, como, por exemplo, os impactos que ela gerou na comunidade envolvida, as facilidades e dificuldades que você enfrentou durante esta experiência e quais descobertas e aprendizagens teve neste processo. Exemplificamos a seguir: 

1) CONTEXTUALIZAÇÃO:
Durante a atividade de extensão, tive a oportunidade de aplicar os conhecimentos teóricos adquiridos na disciplina ""Direito Cibernético"" diretamente na comunidade local. Minha participação envolveu a organização e condução de workshops sobre segurança digital, conformidade com a LGPD e combate à desinformação. Essa experiência foi enriquecedora, pois me permitiu ver como os conteúdos teóricos, como proteção de dados e regulamentações digitais, podem ser implementados para resolver problemas reais enfrentados pela comunidade.

2) METODOLOGIA:
Utilizamos uma combinação de métodos para realizar nossa atividade de extensão. As principais metodologias incluíram:
- Dinâmicas de Grupo: Foram utilizadas para facilitar discussões e promover a interação entre os participantes durante os workshops.
- Entrevistas: Realizamos entrevistas individuais com pequenos empresários para entender suas principais preocupações e desafios em relação à segurança digital e conformidade legal.
- Questionários: Aplicamos questionários antes e depois das oficinas para medir o conhecimento prévio dos participantes e avaliar o impacto das sessões educacionais.
- Workshops Práticos: Desenvolvemos e ministramos oficinas interativas onde os participantes puderam aprender e aplicar práticas de segurança digital e conformidade com a LGPD.

3) RESULTADOS E DISCUSSÃO:
Os resultados da atividade de extensão foram bastante positivos. Conseguimos capacitar 50 membros da comunidade em práticas de segurança digital, e 30 pequenos empresários foram educados sobre conformidade com a LGPD. A campanha de conscientização sobre fake news atingiu mais de 10 pessoas, superando nossas expectativas.

4) IMPACTOS NA COMUNIDADE:

- Segurança Digital: A maioria dos participantes relatou sentir-se mais segura e confiante ao implementar as práticas de segurança digital aprendidas.
- Conformidade Legal: Pequenos empresários começaram a aplicar as diretrizes da LGPD em suas operações, reduzindo o risco de penalidades e aumentando a confiança dos clientes.
- Combate à Desinformação: Houve um aumento significativo na conscientização sobre os perigos das fake news e na capacidade dos participantes de identificar informações falsas.

5) FACILIDADES E DIFICULDADES:

- Facilidades: O engajamento dos participantes foi alto, e o apoio das associações locais facilitou a organização dos eventos.
- Dificuldades: Enfrentamos desafios relacionados à logística, como a disponibilidade de espaços adequados e o acesso a recursos tecnológicos. Também foi um desafio garantir a participação contínua e o comprometimento dos participantes ao longo da atividade.

6) DESCOBERTAS E APRENDIZAGENS:

- Aprendizagem Prática: A relação entre teoria e prática ficou evidente, mostrando a importância da aplicação prática dos conhecimentos acadêmicos para resolver problemas reais.
- Responsabilidade Social: Esta experiência reforçou em mim o senso de responsabilidade social, demonstrando que o conhecimento adquirido na universidade pode ter um impacto positivo significativo na comunidade.
- Engajamento Comunitário: Aprendi que o envolvimento contínuo da comunidade é crucial para o sucesso de qualquer atividade de extensão, e que a colaboração e o diálogo aberto são fundamentais para entender e atender às necessidades da comunidade.
- Em resumo, a atividade de extensão não só beneficiou a comunidade local, mas também proporcionou uma experiência de aprendizado valiosa para mim, fortalecendo minha capacidade de aplicar conhecimentos teóricos em contextos práticos e promovendo um impacto social positivo.",1,,,,,false,false,2024-05-31T21:02:20.347-03:00,2024-09-24T10:04:46.981-03:00
6,362,1870,30011,1,Demanda sociocomunitária e motivação acadêmica,"Citar a situação-problema da comunidade e esclarecer de que maneira isto impacta a vida social, educacional, cultural e/ou econômica das pessoas envolvidas. Nesta etapa, você descreverá como os conteúdos estudados na disciplina permitem que ajude esta comunidade a solucionar ou reduzir as queixas identificadas. Aqui, você descobrirá a importância de estudar e como isto pode melhorar a vida das pessoas à sua volta. 

Exemplo: 
Nesse campo, você deve demonstrar como a aplicação dos conhecimentos aprendidos no ensino superior ajuda na solução de demandas reais da comunidade. Exemplificamos a seguir:

Situação-Problema da Comunidade:

1) A comunidade local enfrenta diversos desafios relacionados à segurança digital, proteção de dados, compreensão de crimes cibernéticos, conformidade com regulamentos digitais e a disseminação de desinformação. Esses problemas impactam negativamente a vida social, educacional, cultural e econômica das pessoas envolvidas.

Impacto na Vida Social, Educacional, Cultural e Econômica:

1.1.1) Vida Social:
Impacto: A falta de conhecimento sobre segurança digital e proteção de dados leva a uma maior vulnerabilidade a fraudes e ataques cibernéticos, resultando em perdas financeiras e danos emocionais. A disseminação de fake news e desinformação também prejudica a coesão social e a confiança nas instituições.

1.1.2) Vida Educacional:
Impacto: Estudantes e professores enfrentam dificuldades em utilizar tecnologias digitais de forma segura, o que compromete o ambiente educacional e a eficácia do ensino e aprendizado. A falta de conscientização sobre crimes cibernéticos pode expor alunos a riscos online, prejudicando sua segurança e bem-estar.

1.1.3) Vida Cultural:
Impacto: A desinformação e a falta de habilidades digitais afetam a forma como a comunidade consome e interage com conteúdos culturais, limitando o acesso a informações precisas e confiáveis. Isso também pode afetar a preservação e disseminação de patrimônio cultural através de plataformas digitais.

1.1.4) Vida Econômica:
Impacto: Pequenos empresários e empreendedores individuais enfrentam dificuldades em proteger seus dados e realizar transações online com segurança, o que pode levar a perdas financeiras e prejudicar a sustentabilidade de seus negócios. A conformidade com a LGPD e outros regulamentos é crucial para evitar penalidades e manter a confiança dos clientes.

Motivação Acadêmica:

Os conteúdos estudados na disciplina de ""Direito Cibernético"" fornecem um fundamento sólido para abordar e resolver esses problemas. Os alunos aprendem sobre proteção de dados, crimes cibernéticos, conformidade legal e segurança digital, habilidades essenciais para enfrentar os desafios identificados na comunidade.

2) Como os Conhecimentos da Disciplina Ajudam a Comunidade:

2.1) Proteção de Dados e Segurança Digital:
Conteúdo: Técnicas de proteção de dados e práticas de segurança digital.
Aplicação: Workshops e palestras educarão a comunidade sobre como proteger seus dados pessoais e comerciais, reduzindo a vulnerabilidade a fraudes e ataques cibernéticos.

2.2) Crimes Cibernéticos:
Conteúdo: Tipos de crimes cibernéticos e como preveni-los.
Aplicação: Desenvolvimento de materiais educativos e campanhas de conscientização sobre crimes cibernéticos, ajudando a comunidade a identificar e evitar ameaças online.

2.3) Conformidade com Regulamentos Digitais:
Conteúdo: Leis e regulamentos como a LGPD e GDPR.
Aplicação: Sessões de treinamento para pequenos empresários sobre conformidade com regulamentos de proteção de dados, evitando penalidades legais e melhorando a confiança dos clientes.

2.4) Combate à Desinformação:
Conteúdo: Técnicas para identificar e combater fake news.
Aplicação: Criação de conteúdos digitais e workshops sobre como reconhecer e reagir à desinformação, promovendo uma comunidade mais bem informada e resiliente.

Importância dos Estudos e Impacto na Comunidade:

Estudar Direito Cibernético não só capacita os alunos a lidar com questões complexas do mundo digital, mas também permite que eles apliquem esse conhecimento para melhorar a vida das pessoas ao seu redor. Através da aplicação prática dos conhecimentos adquiridos, os alunos podem ajudar a solucionar demandas reais da comunidade, promovendo um ambiente digital mais seguro, informado e regulado. Essa abordagem prática e orientada para a comunidade fortalece a ligação entre teoria e prática, demonstrando a relevância e a importância do ensino superior na promoção de mudanças sociais significativas.",3,,,,,false,false,2024-05-31T21:02:19.404-03:00,2024-05-31T21:02:19.404-03:00
8,362,1870,30011,2,Plano de trabalho com cronograma das atividades,"Descrever o plano de trabalho (o que fazer; quando fazer; como fazer; para quem fazer, onde fazer), incluindo informações sobre cada uma das ações a serem executadas para alcançar os objetivos da atividade de extensão.  
O que fazer: indique a ação que precisa ser realizada; 
Quando fazer: quando será realizada a ação, prazo de realização; 
Como fazer: como você realizará esta ação, incluindo os recursos mínimos necessários;   
Para quem fazer: quem irá participar desta ação;  
Onde fazer: local em que realizará a ação.  

Exemplo:
Nesse campo, você deve apresentar o Plano de Trabalho com Cronograma de Atividades. Exemplificamos a seguir: 

Objetivo 1: Capacitar até 10 membros da comunidade local a implementar práticas de segurança digital em seus negócios e vidas pessoais até o final do semestre (especificar a data final).

Ação 1: Preparar o material de capacitação em segurança digital.
O que fazer: Organizar slides, vídeos e guias práticos sobre segurança digital.
Quando fazer: Até 14 dias antes da primeira oficina.
Como fazer: Pesquisar e compilar conteúdos relevantes de fontes confiáveis, preparar apresentações e guias impressos e digitais.
Para quem fazer: Membros da comunidade local.
Onde fazer: No local de estudo ou em uma sala de aula da universidade.

Ação 2: Realizar oficinas de segurança digital
O que fazer: Conduzir sessões práticas sobre proteção de dados, uso seguro da internet e prevenção de crimes cibernéticos.
Quando fazer: Duas vezes por mês, durante todo o semestre.
Como fazer: Utilizar apresentações, demonstrações práticas e atividades interativas; fornecer materiais de apoio aos participantes.
Para quem fazer: Membros da comunidade local.
Onde fazer: Na sala de conferências da universidade ou em centros comunitários locais.

Objetivo 2: Educar até 10 empresários sobre conformidade com a Lei Geral de Proteção de Dados (LGPD) e outras regulamentações digitais relevantes até o final do semestre (especificar a data final).

Ação 1: Preparar workshops sobre LGPD e regulamentações digitais
O que fazer: Desenvolver conteúdo específico para workshops sobre LGPD, GDPR e outras regulamentações.
Quando fazer: Até 21 dias antes do primeiro workshop.
Como fazer: Criar slides, casos de estudo e materiais de apoio baseados em leis e diretrizes oficiais.
Para quem fazer: Pequenos empresários da comunidade.
Onde fazer: No local de estudo ou em uma sala de aula da universidade.

Ação 2: Conduzir workshops de conformidade digital
O que fazer: Realizar sessões educacionais sobre conformidade com LGPD e outras regulamentações.
Quando fazer: Mensalmente, durante todo o semestre.
Como fazer: Apresentar conteúdos, realizar discussões de casos práticos e fornecer suporte para implementação das práticas discutidas.
Para quem fazer: Pequenos empresários da comunidade.
Onde fazer: Na sala de conferências da universidade ou em centros empresariais locais.

Objetivo 3: Desenvolver e disseminar materiais educativos que ajudem a comunidade a identificar e combater fake news, alcançando pelo menos 100 pessoas até o final do semestre (especificar a data final).

Ação 1: Criar materiais educativos sobre fake news
O que fazer: Desenvolver vídeos, infográficos e artigos explicativos sobre identificação e combate a fake news.
Quando fazer: Até 30 dias antes do início da campanha de divulgação.
Como fazer: Utilizar ferramentas de design gráfico e software de edição de vídeo, baseando-se em pesquisas e fontes confiáveis.
Para quem fazer: Membros da comunidade local e público em geral.
Onde fazer: No local de estudo ou em laboratórios de informática da universidade.

Ação 2: Lançar campanha de conscientização sobre fake News.
O que fazer: Implementar uma campanha online e offline para disseminar os materiais educativos.
Quando fazer: Durante todo o semestre, com ênfase nos meses finais.
Como fazer: Utilizar redes sociais, websites da universidade e parceiros comunitários para a divulgação; organizar eventos presenciais para discussões e apresentações.
Para quem fazer: Membros da comunidade local e público em geral.
Onde fazer: Online (redes sociais, websites) e em locais públicos como escolas e centros comunitários.

Cronograma Resumido:



Esta estrutura garante que todas as ações sejam claramente definidas, com prazos e métodos específicos, para alcançar os objetivos propostos e beneficiar a comunidade local de maneira eficaz.",1,,,,,false,false,2024-05-31T21:02:19.781-03:00,2024-05-31T21:02:19.781-03:00
2094,54,,43,,ENCERRAMENTO DA ATIVIDADE,,3,,,,,false,false,2024-10-17T11:56:02.314-03:00,2024-10-17T14:29:32.596-03:00
10,362,1870,30011,2,Avaliação dos resultados alcançados,"Descrever os instrumentos que serão usados para avaliar como a atividade de extensão ajudou a comunidade na redução de suas queixas ou problemas identificados. Além disto, é importante também descrever o que você espera em termos de resultado com a realização da sua atividade. Exemplificamos a seguir:

1) Situação-Problema Identificada:
Durante as rodas de conversa com membros da comunidade local e pequenos empresários, identificou-se que muitos enfrentam dificuldades significativas relacionadas à segurança digital, proteção de dados, conformidade com a LGPD e combate à desinformação. Esses problemas afetam negativamente a segurança, a confiança e a sustentabilidade de seus negócios e vidas pessoais.

2) Objetivos da Atividade de Extensão:
Capacitar até 10 membros da comunidade local a implementar práticas de segurança digital em seus negócios e vidas pessoais até o final do semestre.
Educar 30 pequenos empresários sobre conformidade com a LGPD e outras regulamentações digitais relevantes até o final do semestre.
Desenvolver e disseminar materiais educativos que ajudem a comunidade a identificar e combater fake news, alcançando até 10 pessoas até o final do semestre.

3) Indicadores de Avaliação:

a) Capacitação em Segurança Digital:
- Número de participantes nas oficinas de segurança digital:
Meta: Capacitar até 10 membros da comunidade.

- Satisfação dos participantes com o conteúdo das oficinas:
Instrumento: Questionários de satisfação aplicados ao final de cada oficina.
Meta: Alcançar uma satisfação média de 80% ou superior.

- Implementação de práticas de segurança digital:
Instrumento: Pesquisa de follow-up três meses após a capacitação para verificar quais práticas foram adotadas.
Meta: Pelo menos 70% dos participantes implementando pelo menos uma prática de segurança digital aprendida.

b) Educação sobre Conformidade com a LGPD:

- Número de pequenos empresários participantes dos workshops sobre LGPD:
Meta: Educar até 10 pequenos empresários.
Compreensão dos participantes sobre as regulamentações digitais:
Instrumento: Testes de conhecimento aplicados antes e depois dos workshops.
Meta: Aumentar a pontuação média em pelo menos 50% em comparação com o teste inicial.

- Aplicação das práticas de conformidade:
Instrumento: Entrevistas de follow-up seis meses após os workshops.
Meta: Pelo menos 60% dos empresários aplicando práticas de conformidade aprendidas.

c) Combate à Desinformação:

- Número de materiais educativos desenvolvidos e disseminados:
Meta: Desenvolver e disseminar pelo menos 5 tipos de materiais (vídeos, infográficos, artigos).

- Alcance da campanha de conscientização:
Instrumento: Métricas de alcance em redes sociais e eventos presenciais.
Meta: Alcançar até 15 pessoas.

- Impacto na percepção da comunidade sobre fake news:
Instrumento: Pesquisa de percepção aplicada antes e depois da campanha.
Meta: Reduzir em pelo menos 30% a percepção de vulnerabilidade a fake news entre os participantes.

4) Expectativas de Resultados:

4.1) Para a Capacitação em Segurança Digital:

Espera-se que os participantes adquiram conhecimentos práticos e os implementem em suas vidas e negócios, aumentando a segurança digital e reduzindo a vulnerabilidade a ataques cibernéticos.

4.2) Para a Educação sobre Conformidade com a LGPD:

Espera-se que os pequenos empresários compreendam melhor as regulamentações e as implementem em suas operações, evitando penalidades legais e aumentando a confiança dos clientes.

4..3) Para o Combate à Desinformação:

Espera-se que a campanha aumente a conscientização sobre fake news e capacite a comunidade a identificar e combater informações falsas, promovendo um ambiente mais informado e seguro.
Ao final do semestre, os resultados dessas avaliações serão compilados e analisados para verificar o impacto da atividade de extensão e identificar áreas para melhorias futuras.",3,,,,,false,false,2024-05-31T21:02:20.159-03:00,2024-05-31T21:02:20.159-03:00
1165,362,1870,30099,,DIAGNÓSTICO E TEORIZAÇÃO,,1,,,,,false,false,2024-08-14T09:16:17.89-03:00,2024-08-14T09:16:17.89-03:00
439,362,1870,30085,433,Objetivos a serem alcançados em relação à situação-problema identificada,"Descrever entre um e três objetivos, no máximo, que devem ser alcançados com o desenvolvimento da atividade de extensão.  Os resultados esperados de uma atividade de extensão devem ser claros, específicos, possíveis de serem medidos e com prazo de realização para que a comunidade participe e avalie o alcance dos objetivos.  Lembre-se: os objetivos devem ser definidos com verbos de ação (verbo no infinito), de maneira clara, em forma de tópicos (quando for mais de um), correspondentes aos resultados que a atividade de extensão realizada por você pretende alcançar. 

Exemplo:
Criar a oportunidade para que os membros da comunidade descubram o prazer de produzir, corrigir e revisar textos. Que este hábito se torne ferramenta em seu desenvolvimento pessoal, educacional e consequentemente social;
Desenvolver, nos participantes, o interesse pela produção, correção e revisão de texto e oferecer base para ampliar o vocabulário e se expressar melhor;
Incentivar a criatividade no pensar, falar, escrever textos, entender o mundo e reconhecer-se.",4,,,,,false,false,2024-05-31T21:03:45.512-03:00,2024-05-31T21:03:45.512-03:00
559,362,1870,30058,553,Objetivos a serem alcançados em relação à situação-problema identificada,"Descrever entre um e três objetivos, no máximo, que devem ser alcançados com o desenvolvimento da atividade de extensão.  Os resultados esperados de uma atividade de extensão devem ser claros, específicos, possíveis de serem medidos e com prazo de realização para que a comunidade participe e avalie o alcance dos objetivos.  Lembre-se: os objetivos devem ser definidos com verbos de ação (verbo no infinito), de maneira clara, em forma de tópicos (quando for mais de um), correspondentes aos resultados que a atividade de extensão realizada por você pretende alcançar. 

Exemplo:
Realizar um levantamento das condições de saneamento básico da Vila Esperança.
Promover ações de educação ambiental para conscientizar a comunidade sobre práticas de higiene e preservação do meio ambiente.
Propor soluções alternativas para o tratamento de esgoto e descarte de resíduos sólidos.",4,,,,,false,false,2024-05-31T21:04:09.365-03:00,2024-05-31T21:04:09.365-03:00
2095,54,,43,483,Evidências das atividades realizadas,"Incluir evidências do processo de desenvolvimento da atividade de extensão (ex: fotografias, capturas de tela ou por vídeos, carta de autorização assinada pelos participantes da comunidade local, carta de apresentação etc.). Este conjunto de evidências comprovará a realização das atividades, como também poderão ser usadas para exposição da atividade em mostras acadêmico-científicas e seminários de extensão a serem realizados pela instituição de ensino. 

Exemplo:
Contextualize a evidência: descreva o contexto para cada evidência anexada, como data, local e qualquer informação específica que a identifique. Explique o que estava acontecendo no momento e por que a evidência é relevante para o projeto.  
Você deverá descrever com detalhes a Roda da Conversa com os professores para identificar a situação-problema que eles convivem no dia a dia escolar. 
Descrever com clareza o material utilizado na oficina. 
Anexar a lista de professores presentes na oficina.",2,,,,,true,false,2024-10-17T11:56:02.505-03:00,2024-10-17T14:29:32.803-03:00
